epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1871,0.685,1.67997,1.29662,0.57589,0.57508,0.61918,0.43531,0.8286,1.38513,1.09445,0.000474032,0.000474032,0.000474032
2,102.629,0.61181,1.10711,1.21572,0.6372,0.59265,0.65084,0.47053,0.84932,1.09892,1.23236,0.000903322,0.000903322,0.000903322
3,149.616,0.60623,0.96362,1.2046,0.75795,0.69916,0.77582,0.55049,0.77728,0.88696,1.05672,0.00128546,0.00128546,0.00128546
4,196.974,0.57636,0.90042,1.1947,0.77443,0.74141,0.79703,0.57805,0.79686,0.8451,1.06234,0.00121679,0.00121679,0.00121679
5,243.701,0.53551,0.77928,1.1569,0.75824,0.7858,0.80504,0.60444,0.73581,0.82709,0.97428,0.00114606,0.00114606,0.00114606
6,290.779,0.49764,0.71453,1.12426,0.78883,0.81146,0.79942,0.5941,0.72079,0.72544,1.00365,0.00107532,0.00107532,0.00107532
7,337.742,0.50659,0.68484,1.14026,0.87128,0.84616,0.90777,0.65122,0.76405,0.73155,0.99826,0.00100459,0.00100459,0.00100459
8,384.449,0.48046,0.65339,1.1276,0.83702,0.84195,0.89024,0.64384,0.7712,0.68776,0.9732,0.000933851,0.000933851,0.000933851
9,430.95,0.44404,0.60638,1.09753,0.88502,0.86883,0.91778,0.71176,0.6725,0.58712,0.91558,0.000863116,0.000863116,0.000863116
10,477.63,0.44394,0.59846,1.09847,0.86943,0.89587,0.93311,0.73821,0.60985,0.56033,0.87262,0.00079238,0.00079238,0.00079238
11,521.451,0.51713,0.6903,1.21435,0.86066,0.85819,0.89533,0.70756,0.65335,0.61018,0.91556,0.000721645,0.000721645,0.000721645
12,565.014,0.46471,0.53522,1.17003,0.89344,0.87169,0.91539,0.75165,0.57435,0.562,0.83509,0.000650909,0.000650909,0.000650909
13,608.786,0.43809,0.49005,1.14016,0.8714,0.94667,0.93783,0.76038,0.53951,0.52423,0.77793,0.000580174,0.000580174,0.000580174
14,652.662,0.42159,0.44798,1.13614,0.92556,0.88747,0.94889,0.77868,0.52128,0.53842,0.76613,0.000509438,0.000509438,0.000509438
15,696.694,0.39547,0.43626,1.10646,0.89688,0.88506,0.94889,0.80018,0.51281,0.53827,0.75002,0.000438703,0.000438703,0.000438703
16,740.693,0.37291,0.40566,1.07866,0.88992,0.92371,0.94687,0.78398,0.49316,0.50734,0.71238,0.000367967,0.000367967,0.000367967
17,785.207,0.36628,0.38519,1.08116,0.92436,0.92038,0.95851,0.80537,0.50458,0.48324,0.73588,0.000297232,0.000297232,0.000297232
18,829.194,0.33951,0.3675,1.04957,0.9267,0.94318,0.97467,0.83005,0.44901,0.42454,0.68021,0.000226497,0.000226497,0.000226497
19,873.216,0.32807,0.35727,1.04942,0.91716,0.92476,0.96618,0.83347,0.44963,0.43983,0.68097,0.000155761,0.000155761,0.000155761
20,916.964,0.3287,0.34594,1.04621,0.91049,0.93121,0.96324,0.83019,0.45754,0.46053,0.69566,8.50255e-05,8.50255e-05,8.50255e-05
