epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7568,0.68879,1.73348,1.30117,0.47277,0.56552,0.54836,0.34793,0.96526,2.11774,1.33493,0.000472042,0.000472042,0.000472042
2,25.7472,0.58709,1.05328,1.20077,0.75797,0.62017,0.71138,0.50862,0.82322,1.35557,1.16951,0.00091082,0.00091082,0.00091082
3,37.5252,0.59042,0.92692,1.19195,0.56442,0.56019,0.59484,0.32943,1.41278,1.93897,1.5089,0.00131187,0.00131187,0.00131187
4,49.0587,0.55664,0.81097,1.16048,0.81296,0.6988,0.78186,0.57451,0.7532,1.10606,1.01198,0.00125923,0.00125923,0.00125923
5,60.6876,0.53982,0.75704,1.15143,0.69918,0.74456,0.77321,0.58795,0.76667,0.84724,1.01481,0.00120265,0.00120265,0.00120265
6,72.2614,0.51226,0.65762,1.12635,0.68978,0.72559,0.79567,0.56573,0.78672,1.09143,1.01959,0.00114606,0.00114606,0.00114606
7,83.7167,0.49567,0.63593,1.13307,0.86486,0.84283,0.91123,0.70633,0.66461,0.64348,0.94035,0.00108947,0.00108947,0.00108947
8,95.3875,0.46794,0.58918,1.11164,0.85167,0.8024,0.87306,0.66511,0.69488,0.65182,0.96308,0.00103288,0.00103288,0.00103288
9,106.882,0.46091,0.57278,1.09843,0.90123,0.85964,0.90955,0.71762,0.59298,0.58725,0.84011,0.000976293,0.000976293,0.000976293
10,118.55,0.4386,0.53784,1.08978,0.83652,0.85512,0.90429,0.70884,0.60327,0.70633,0.8746,0.000919704,0.000919704,0.000919704
11,130.344,0.44106,0.52579,1.09575,0.83394,0.79372,0.87485,0.67053,0.62764,0.63635,0.85207,0.000863116,0.000863116,0.000863116
12,141.963,0.42079,0.50172,1.07612,0.92258,0.8684,0.9383,0.76827,0.57382,0.54223,0.7935,0.000806528,0.000806528,0.000806528
13,153.468,0.40698,0.4866,1.06758,0.8877,0.8739,0.91075,0.7369,0.55785,0.57644,0.78324,0.000749939,0.000749939,0.000749939
14,164.898,0.39989,0.46476,1.06318,0.88745,0.90125,0.93717,0.7828,0.52172,0.50795,0.77136,0.000693351,0.000693351,0.000693351
15,176.592,0.3817,0.44066,1.04502,0.9332,0.8861,0.94793,0.79141,0.5118,0.53438,0.75719,0.000636762,0.000636762,0.000636762
16,189.029,0.42666,0.49004,1.12787,0.85543,0.8655,0.89984,0.73948,0.52193,0.57587,0.76648,0.000580174,0.000580174,0.000580174
17,200.645,0.40911,0.41327,1.114,0.8923,0.89805,0.94978,0.78465,0.51691,0.57781,0.77086,0.000523586,0.000523586,0.000523586
18,212.432,0.39046,0.38659,1.09988,0.908,0.91965,0.95579,0.79858,0.48154,0.50023,0.70246,0.000466997,0.000466997,0.000466997
19,224.488,0.38893,0.37545,1.10873,0.91708,0.88852,0.93979,0.7895,0.4969,0.52762,0.73748,0.000410409,0.000410409,0.000410409
20,236.57,0.35655,0.35644,1.06512,0.91979,0.87735,0.95103,0.81111,0.4749,0.48669,0.70236,0.00035382,0.00035382,0.00035382
21,248.316,0.34158,0.33612,1.05147,0.91241,0.88906,0.94734,0.80091,0.46051,0.4758,0.69172,0.000297232,0.000297232,0.000297232
22,260.187,0.33608,0.3184,1.05583,0.91513,0.9099,0.95347,0.81894,0.44044,0.45954,0.68128,0.000240644,0.000240644,0.000240644
23,271.836,0.32457,0.30925,1.04021,0.91966,0.90585,0.95602,0.82428,0.43171,0.46569,0.66488,0.000184055,0.000184055,0.000184055
24,283.476,0.30868,0.29084,1.01956,0.9434,0.91486,0.96429,0.83478,0.44256,0.46873,0.68004,0.000127467,0.000127467,0.000127467
25,295.273,0.29554,0.2809,1.01955,0.91082,0.95256,0.95693,0.8366,0.42502,0.4822,0.66317,7.08784e-05,7.08784e-05,7.08784e-05
